State,City,Paper Name,Website Url,County,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Chain Owner,CMS Vendor,Audit Sources,Audit Notes
MN,Owatonna,Owatonna People's Press,https://www.owatonna.com,Steele,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/, /eedition/faribault/, /eedition/kenyon/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Paynesville,Paynesville Press,https://www.paynesvillepress.com,Stearns,Yes,No,Yes,Yes,No,Manual Review,Manual Review,Homepage,Found 7 PDF links on homepage | Homepage contains paywall keywords | Homepage contains public notice keywords | No responsive indicators
MN,Plainview,Plainview News,https://www.gmdmedia.net,Wabasha,Yes,No,Yes,Yes,Yes,Manual Review,Drupal,Homepage+RSS,"Homepage contains e-edition style link(s): https://www.gmdmedia.net/node/118 | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal.settings, drupal"
MN,Preston,Preston - Fillmore County Journal,https://www.fillmorecountyjournal.com,Fillmore,No,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"RSS present (indicates article content) | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wp-json"
MN,Rochester,Rochester - Post Bulletin,https://www.postbulletin.com,Olmsted,Yes,No,Yes,Yes,Yes,Manual Review,Arc XP,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Arc XP): thearc | Homepage snapshot truncated to 500,000 characters"
MN,Shoreview,Roseville - Review,https://www.presspubs.com/review,Ramsey,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Slayton,Slayton - Murray County Wheel-Herald,https://www.wheelherald.com,Murray,Yes,No,Yes,Yes,Yes,Manual Review,Drupal,Homepage+RSS,"Homepage contains e-edition style link(s): https://www.wheelherald.com/e-edition/166 | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal-settings-json, drupal"
MN,St. Charles,St. Charles Press & Lewiston Journal,https://www.gmdmedia.net,Winona,Yes,No,Yes,Yes,Yes,Manual Review,Drupal,Homepage+RSS,"Homepage contains e-edition style link(s): https://www.gmdmedia.net/node/118 | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal.settings, drupal"
MN,St. Cloud,St. Cloud Live,https://www.stcloudlive.com,Stearns,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://epaper.stcloudlive.com/, javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present"
MN,Two Harbors,Two Harbors - Lake County Press,https://www.lakecountypress.news,Lake,No,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Warren,Warren Sheaf,https://www.warrensheaf.com,Marshall,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): http://2118.newstogo.us/editionviewer/default.aspx?Publication=2c503c14-adc7-4e01-ae32-a22d24b25b7e | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wp-json"
MN,Willmar,Willmar - West Central Tribune,https://www.wctrib.com,Kandiyohi,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Worthington,Worthington - The Globe,https://www.dglobe.com,Nobles,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
